Codi_Sector_Activitat,Nom_Sector_Activitat,Codi_Grup_Activitat,Nom_Grup_Activitat,Codi_Activitat_2022,Nom_Activitat,Nom_Local,Latitud,Longitud,Direccio_Unica,Nom_Via
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373521789,2.170734555,"361009, 49-49, LOC 10",VILA I VILÀ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372806243,2.173863351,"361009, 8-10, LOC 10",VILA I VILÀ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374558359,2.17342481,"198804, 33-35, LOC 10",AV PARAL·LEL
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373996801,2.167491764,"130006, 9-9, LOC 10",FONTRODONA
1,Locals buits en venda,0,Grup no definit,10,Locals buits en venda,SN,41.37417493,2.160770148,"086301, 16-16, LOC 10",CONCÒRDIA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373113194,2.169087678,"175809, 13-13, LOC 10",LAFONT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373408067,2.165384889,"043400, 16-16, LOC 20",BLAI
1,Locals buits en venda,0,Grup no definit,10,Locals buits en venda,SN,41.373696899,2.156565785,"316900, 10-10, LOC 10",PL SANTA MADRONA
1,Locals buits en venda,0,Grup no definit,10,Locals buits en venda,SN,41.372984376,2.170239687,"257700, 26-26, LOC 40",PIQUER
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372837442,2.1604684,"189202, 62-62, LOC 40",MAGALHAES
2,Locals buits en lloguer,0,Grup no definit,20,Locals buits en lloguer,SN,41.373496629,2.158506364,"043706, 2-2, LOC 20",BÒBILA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374755607,2.170211524,"198804, 57-61, LOC 40",AV PARAL·LEL
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373642555,2.168010771,"257700, 48-48, LOC 10",PIQUER
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374688181,2.163865417,"195500, 2-4, LOC 20",MARGARIT
1,Locals buits en venda,0,Grup no definit,10,Locals buits en venda,SN,41.373742187,2.16299504,"043207, 25-25, LOC 10",BLASCO DE GARAY
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.371377142,2.159513533,"118805, 62-62, LOC 20",PG EXPOSICIÓ
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.371920607,2.168922722,"043502, 3-5, LOC 10",BLESA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.37342115,2.161487639,"094707, 24-24, LOC 10",CREU DELS MOLERS
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.37240167,2.1637474,"330504, 46-46, LOC 10",TAPIOLES
2,Locals buits en lloguer,0,Grup no definit,20,Locals buits en lloguer,SN,41.374161848,2.163838595,"195500, 13-13, LOC 10",MARGARIT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372638175,2.164558768,"261004, 54-54, LOC 20",POETA CABANYES
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373383913,2.166591883,"288408, 30-30, LOC 20",ROSER
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374320855,2.162653059,"043400, 55-55, LOC 10",BLAI
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372456016,2.165565938,"108007, 6-6, LOC 10",ELKANO
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373704951,2.157064676,"234500, 44-44, LOC 40",OLIVERA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372564707,2.172146738,"241404, 29-31, LOC 10",PALAUDÀRIES
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372761962,2.167605758,"086902, 146-146, LOC 10",NOU DE LA RAMBLA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372055466,2.160994112,"094707, 66-66, LOC 20",CREU DELS MOLERS
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373756276,2.161765248,"094707, 25-25, LOC 20",CREU DELS MOLERS
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373097092,2.167947739,"086902, 138-140, LOC 20",NOU DE LA RAMBLA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.37253049,2.156796455,"149503, 21-23, LOC 20",GRASES
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.37417493,2.156492025,"268309, 8-10, LOC 20",PTGE PRUNERA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373933399,2.155968994,"129459, 19-19, LOC 10",FONT HONRADA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.37386094,2.158171088,"281806, 15-15, LOC 10",RICART
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372986388,2.169740796,"257700, 25B-25B, LOC 50",PIQUER
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373360766,2.157794237,"281806, 28-28, LOC 10",RICART
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374656983,2.157342285,"353306, 2B-2B, LOC 20",VALLHONRAT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373196725,2.158582807,"043706, 11-11, LOC 10",BÒBILA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374037057,2.161716968,"094707, 12-12, LOC 20",CREU DELS MOLERS
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373652619,2.154906839,"178400, 11-11, LOC 20",LLEIDA
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373639536,2.167507857,"257700, 59-61, LOC 10",PIQUER
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.373483546,2.169082314,"175809, 12-12, LOC 10",LAFONT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.372416766,2.169566453,"052900, 44-44, LOC 10",CABANES
2,Locals buits en lloguer,0,Grup no definit,20,Locals buits en lloguer,SN,41.374775735,2.168965638,"198804, 65-65, LOC 20",AV PARAL·LEL
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374793849,2.162154168,"094707, 1-3, LOC 10",CREU DELS MOLERS
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374601633,2.155385613,"329902, 85-87, LOC 10",TAMARIT
3,Locals buits en venda i lloguer,0,Grup no definit,30,Locals buits en venda i lloguer,SN,41.374428537,2.154488415,"178400, 5-5, LOC 10",LLEIDA
1,Locals buits en venda,0,Grup no definit,10,Locals buits en venda,SN,41.37366067,2.155195177,"234500, 76-76, LOC 20",OLIVERA
2,Locals buits en lloguer,0,Grup no definit,20,Locals buits en lloguer,SN,41.373260127,2.155117393,"178400, 15-15, LOC 20",LLEIDA
